dt_venda,loja,uf,produto,canal_venda,tipo_venda,vlr_venda,qt_venda,qt_dias_com_estoque,qt_dias_sem_estoque,qt_dias_com_estoque_aberta,qt_dias_sem_estoque_aberta,qt_dias_loja_fechada,estoque_loja,habilitador
2023-03-22,ABC18575,PR,Produto X,LOJA,PROMOCAO,122.0,0,0,21,0,17,4,0,1
2023-01-23,ABC18575,PR,Produto X,LOJA,PROMOCAO,113.0,0,6,15,5,12,4,1,1
2023-01-23,ABC18575,PR,Produto Z,LOJA,PROMOCAO,259.0,0,21,0,17,0,4,3,1
2023-06-13,ABC18575,PR,Produto X,LOJA,PROMOCAO,124.9,1,20,0,16,0,4,1,1
2023-01-05,ABC18575,PR,Produto X,LOJA,PROMOCAO,122.0,0,13,15,11,13,4,0,1
2023-01-08,ABC18575,PR,Produto X,LOJA,PROMOCAO,122.0,0,13,15,11,13,4,0,1
2023-07-16,ABC18575,PR,Produto Z,LOJA,PROMOCAO,253.0,0,5,16,1,0,20,0,1
2023-05-07,ABC18575,PR,Produto X,LOJA,PROMOCAO,115.0,0,22,6,18,4,6,6,0
2023-06-10,ABC18575,PR,Produto X,LOJA,PROMOCAO,104.0,0,15,0,12,0,3,2,1
2023-02-13,ABC18575,PR,Produto Z,LOJA,PROMOCAO,263.0,0,21,0,16,0,5,2,1
2023-04-27,ABC18575,PR,Produto Z,LOJA,REGULAR,266.0,0,28,0,22,0,6,3,1
2023-05-11,ABC18575,PR,Produto X,LOJA,PROMOCAO,115.0,0,22,6,18,4,6,6,0
2023-02-02,ABC18575,PR,Produto Z,LOJA,PROMOCAO,259.0,0,21,0,17,0,4,3,1
2023-03-17,ABC18575,PR,Produto X,LOJA,PROMOCAO,122.0,0,0,21,0,17,4,0,1
2023-03-07,ABC18575,PR,Produto Z,LOJA,PROMOCAO,264.0,0,21,0,17,0,4,2,1
2023-06-27,ABC18575,PR,Produto X,LOJA,PROMOCAO,122.0,0,20,0,16,0,4,1,1
2023-03-06,ABC18575,PR,Produto Z,LOJA,PROMOCAO,264.0,0,21,0,17,0,4,2,1
